,Rank,Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,URL,Movie_Rating_bin,metascore_bin,watchtime_bin,Cast1,Cast2,Cast3,Cast4,Adventure,Music,Action,Fantasy,Thriller,War,Biography,Mystery,Comedy,Sport,Horror,Film-Noir,Romance,Family,Musical,Western,Sci-Fi,Drama,Crime,History,Animation,watchtime_minmax,gross_minmax,watchtime_standard,gross_standard
12,13,The Lord of the Rings: The Two Towers,2002-01-01,179,8.8,87.0,"1,694,030",342.55,frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard,Peter Jackson,https://www.imdb.com/title/tt0167261/,excellent,excellent,long,['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4855072463768116,0.3990633300712988,1.5610738148974594,2.135146480386903
13,14,"Il buono, il brutto, il cattivo",1966-01-01,161,8.8,90.0,"773,210",6.1,bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery,Sergio Leone,https://www.imdb.com/title/tt0060196/,excellent,excellent,long,['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4202898550724638,0.007094925206207185,0.9793794359765332,-0.5985651031647424
14,15,Jai Bhim,2021-01-01,164,8.8,83.0,"205,684",235.0,tribal man arrested case alleged theft wife turn humanrights lawyer help bring justice,T.J. Gnanavel,https://www.imdb.com/title/tt15097216/,excellent,excellent,long,['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.43115942028985504,0.2737662519222704,1.0763284991300208,1.26128504239915
15,16,777 Charlie,2022-01-01,136,8.8,83.0,"34,265",30.255,dharma stuck rut negative lonely lifestyle spends day comfort loneliness pup named charlie enters life give new perspective towards,Kiranraj K,https://www.imdb.com/title/tt7466810/,excellent,excellent,long,['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32971014492753625,0.035235798499464094,0.17147057636413562,-0.4023017555627511
16,17,Rocketry: The Nambi Effect,2022-01-01,157,8.8,83.0,"52,663",30.255,based life indian space research organization scientist nambi narayanan framed spy arrested 1994 though free continues fight justice official falsely implicated,Madhavan,https://www.imdb.com/title/tt9263550/,excellent,excellent,long,['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40579710144927533,0.035235798499464094,0.8501140184385496,-0.4023017555627511
17,18,The Matrix,1999-01-01,136,8.7,73.0,"1,945,864",171.48,beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligence,"Directors:Lana Wachowski, Lilly Wachowski",https://www.imdb.com/title/tt0133093/,excellent,very good,long,['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32971014492753625,0.19976466750547556,0.17147057636413562,0.745174595714054
18,19,GoodFellas,1990-01-01,145,8.7,91.0,"1,183,683",46.84,story henry hill life mob covering relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate,Martin Scorsese,https://www.imdb.com/title/tt0099685/,excellent,excellent,long,['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36231884057971014,0.05455752830980009,0.46231776582459877,-0.2675459029451138
19,20,One Flew Over the Cuckoo's Nest,1975-01-01,133,8.7,84.0,"1,023,279",112.0,fall 1963 korean war veteran criminal pleads insanity admitted mental institution rally scared patient tyrannical nurse,Milos Forman,https://www.imdb.com/title/tt0073486/,excellent,excellent,long,['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31884057971014496,0.13046973297916958,0.07452151321064793,0.26188981345918155
20,21,The Empire Strikes Back,1980-01-01,124,8.7,82.0,"1,313,133",290.48,rebel overpowered empire luke skywalker begin jedi training yoda friend pursued across galaxy darth vader bounty hunter boba fett,Irvin Kershner,https://www.imdb.com/title/tt0080684/,excellent,excellent,long,['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286231884057971,0.33840113705205277,-0.2163256762498152,1.7120691668023162
21,22,Soorarai Pottru,2020-01-01,153,8.7,83.0,"119,007",30.255,nedumaaran rajangam maara set make common man fly process take world capital intensive industry several enemy stand way,Sudha Kongara,https://www.imdb.com/title/tt10189514/,excellent,excellent,long,['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Aarti Desai'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391304347826087,0.035235798499464094,0.720848600900566,-0.4023017555627511
22,23,Interstellar,2014-01-01,169,8.6,74.0,"1,890,076",188.02,team explorer travel wormhole space attempt ensure humanity survival,Christopher Nolan,https://www.imdb.com/title/tt0816692/,excellent,very good,long,['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44927536231884063,0.21903397176010067,1.2379102710525005,0.8795648159308597
23,24,Se7en,1995-01-01,127,8.6,65.0,"1,685,664",100.13,two detective rookie veteran hunt serial killer us seven deadly sin motif,David Fincher,https://www.imdb.com/title/tt0114369/,excellent,very good,long,['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2971014492753623,0.1166410363949858,-0.1193766130963275,0.1654441112842431
24,25,The Silence of the Lambs,1991-01-01,118,8.6,86.0,"1,458,550",130.74,young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skin victim,Jonathan Demme,https://www.imdb.com/title/tt0102926/,excellent,excellent,medium,['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2644927536231884,0.15230206440188268,-0.4102238025567906,0.4141553954944256
25,26,Star Wars,1977-01-01,121,8.6,90.0,"1,385,547",322.74,luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empire worlddestroying battle station also attempting rescue princess leia mysterious darth vader,George Lucas,https://www.imdb.com/title/tt0076759/,excellent,excellent,long,['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2753623188405797,0.37598443543501564,-0.3132747394033029,1.9741869723763275
26,27,Terminator 2: Judgment Day,1991-01-01,137,8.6,75.0,"1,116,947",204.84,cyborg identical one failed kill sarah connor must protect 10year old son john even advanced powerful cyborg,James Cameron,https://www.imdb.com/title/tt0103064/,excellent,very good,long,['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.23862947947248242,0.20378693074863152,1.0162300821972845
27,28,The Green Mile,1999-01-01,189,8.6,61.0,"1,326,165",136.8,life guard death row affected one charge black man accused child murder rape yet mysterious gift,Frank Darabont,https://www.imdb.com/title/tt0120689/,excellent,very good,long,['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5217391304347827,0.15936203923761594,1.8842373587424184,0.4633938921397606
28,29,Sen to Chihiro no kamikakushi,2001-01-01,125,8.6,96.0,"782,774",10.06,family move suburb sullen 10yearold girl wanders world ruled god witch spirit world human changed beast,Hayao Miyazaki,https://www.imdb.com/title/tt0245429/,excellent,excellent,long,['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2898550724637681,0.011708374108765553,-0.1840093218653193,-0.5663894518915531
29,30,Saving Private Ryan,1998-01-01,169,8.6,91.0,"1,415,274",216.54,following normandy landing group u soldier go behind enemy line retrieve paratrooper whose brother killed action,Steven Spielberg,https://www.imdb.com/title/tt0120815/,excellent,excellent,long,['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.44927536231884063,0.25226012395731395,1.2379102710525005,1.1112945064135253
30,31,Cidade de Deus,2002-01-01,130,8.6,79.0,"767,230",7.56,slum rio two kid path diverge one struggle become photographer kingpin,"Directors:Fernando Meirelles, Kátia Lund",https://www.imdb.com/title/tt0317248/,excellent,very good,long,['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3079710144927536,0.008795843235938301,-0.02242754994283978,-0.5867023630488696
31,32,La vita è bella,1997-01-01,116,8.6,59.0,"707,263",57.6,openminded jewish waiter son become victim holocaust us perfect mixture humor imagination protect son danger around camp,Roberto Benigni,https://www.imdb.com/title/tt0118799/,excellent,good,medium,['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2572463768115942,0.06709306118644859,-0.47485651132578244,-0.18011913332402393
32,33,Shichinin no samurai,1954-01-01,207,8.6,98.0,"351,105",0.27,farmer village exploited bandit hire veteran samurai protection gather six samurai join,Akira Kurosawa,https://www.imdb.com/title/tt0047478/,excellent,excellent,long,['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5869565217391304,0.0003029032107740342,2.4659317376633445,-0.6459348119836044
33,34,It's a Wonderful Life,1946-01-01,130,8.6,89.0,"469,851",20.0,angel sent heaven help desperately frustrated businessman showing life would like never existed,Frank Capra,https://www.imdb.com/title/tt0038650/,excellent,excellent,long,['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3079710144927536,0.02328859685912671,-0.02242754994283978,-0.48562531713006307
34,35,Seppuku,1962-01-01,133,8.6,85.0,"60,160",45.0,ronin requesting seppuku feudal lord palace told brutal suicide another ronin previously visited reveals past intertwined challenge clan integrity,Masaki Kobayashi,https://www.imdb.com/title/tt0056058/,excellent,excellent,long,['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31884057971014496,0.05241390558739923,0.07452151321064793,-0.28249620555689875
